OBJECTID_12,OBJECTID,latitude,longitude,property_type,room_type,accommodates,price,FID_1,OBJECTID_1,FID_1_1,OBJECTID_2,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,AREA_SQFT,AREA_ACRES,POP100_RE,HU100_RE,LOGPL94171,LOGSF1,LOGACS0610,LOGSF1C,SHAPE_Leng,Count_,Sum_Field1,Sum_Lat,Sum_Long,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran,Shape_Le_1
4000,2027,42.353999999999999,-71.148430000000005,Apartment,Private room,1,50,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4001,2117,42.353670000000001,-71.149900000000002,Apartment,Entire home/apt,2,99,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4002,2205,42.353439999999999,-71.142380000000003,House,Private room,4,85,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4003,3246,42.352989999999998,-71.140749999999997,Guest suite,Entire home/apt,5,175,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4004,3325,42.352209999999999,-71.143069999999994,House,Private room,2,115,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4005,3455,42.352100000000000,-71.141720000000007,House,Private room,2,50,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4006,3456,42.352469999999997,-71.143590000000003,House,Private room,2,50,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4007,3948,42.352530000000002,-71.141689999999997,House,Private room,2,115,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4008,4039,42.346029999999999,-71.152130000000000,House,Private room,2,62,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4009,4293,42.350980000000000,-71.146500000000003,Apartment,Entire home/apt,4,150,164,165,167,848,25,025,000601,25025000601,6.01,Census Tract 6.01,G5020,495044.000000000000000,0.000000000000000,+42.3509820,-071.1457225,5328243.450000000186265,122.319599999999994,3571,1525,0174877,147867,0003852,0147867,4706.602979960000084,137,1795992,5801.948734380000133,-9747.539963569999600,5,0,0,0,2,0,2,1,2,0,3,66,0,0,0,7,0,0,0,7,2,6,15,13,6,4706.602979999999661
4010,211,42.340009999999999,-71.155429999999996,Apartment,Entire home/apt,2,114,165,166,168,849,25,025,000502,25025000502,5.02,Census Tract 5.02,G5020,863889.000000000000000,334529.000000000000000,+42.3315048,-071.1574973,12898832.449999999254942,296.116399999999999,6303,2041,0174864,147854,0003849,0147854,5645.450450289999935,32,365157,1354.815232259999902,-2276.877390369999830,1,0,0,1,2,0,0,0,0,0,2,2,0,0,0,3,0,0,0,3,3,0,10,5,0,5645.450450229999660
