latitude,longitude,property_type,room_type,accommodates,price
42.32051,-71.11216,Apartment,Entire home/apt,8,439
42.29444,-71.11995,Apartment,Private room,2,60
42.37761,-71.0352,House,Private room,2,105
42.27176,-71.16759,House,Private room,6,70
42.30777,-71.11626,House,Private room,3,90
42.32477,-71.09476,Condominium,Entire home/apt,4,135
42.35384,-71.16795,House,Private room,2,99
42.37669,-71.03428,House,Private room,2,99
42.3778,-71.03467,House,Private room,2,100
42.34122,-71.07533,Apartment,Entire home/apt,2,150
42.30693,-71.10789,Loft,Entire home/apt,4,200
42.3046,-71.08392,Apartment,Entire home/apt,2,45
42.33852,-71.07985,Apartment,Entire home/apt,4,167
42.33139,-71.04268,Apartment,Private room,3,89
42.33311,-71.07494,Loft,Entire home/apt,5,200
42.3651,-71.05365,Apartment,Entire home/apt,5,159
42.32473,-71.10792,House,Entire home/apt,4,121
42.35257,-71.0636,Apartment,Entire home/apt,2,145
42.36105,-71.06593,Apartment,Entire home/apt,2,200
42.34405,-71.07352,Apartment,Entire home/apt,2,160
42.34853,-71.08549,Apartment,Entire home/apt,3,199
42.3588,-71.06972,Apartment,Entire home/apt,2,650
42.30838,-71.04694,House,Private room,3,76
42.34567,-71.13922,Condominium,Entire home/apt,4,147
42.30922,-71.04564,House,Private room,1,47
42.3119,-71.07337,Condominium,Private room,2,80
42.32497,-71.08949,House,Private room,1,65
42.32642,-71.09013,House,Private room,1,67
42.36651,-71.05284,Apartment,Entire home/apt,4,399
42.32465,-71.08869,House,Private room,1,70
42.33937,-71.08026,House,Private room,6,350
42.36482,-71.05371,Apartment,Entire home/apt,2,99
42.37963,-71.06192,Apartment,Private room,1,68
42.33393,-71.10314,Condominium,Private room,2,70
42.30977,-71.04715,House,Private room,3,75
42.30811,-71.0462,House,Private room,3,83
42.27572,-71.13014,House,Private room,1,75
42.31019,-71.04829,House,Private room,1,60
42.35908,-71.06707,Apartment,Entire home/apt,3,475
42.35373,-71.16107,Apartment,Entire home/apt,1,90
42.37203,-71.06165,Townhouse,Entire home/apt,4,350
42.30945,-71.04555,House,Private room,3,77
42.3484,-71.15696,Guest suite,Entire home/apt,4,140
42.31013,-71.10288,Condominium,Entire home/apt,4,159
42.31166,-71.11491,Apartment,Entire home/apt,4,300
42.3588,-71.06761,Apartment,Entire home/apt,2,175
42.3105,-71.04812,House,Private room,3,63
42.3789,-71.06118,Townhouse,Entire home/apt,7,299
42.32502,-71.09479,Townhouse,Private room,2,78
42.36796,-71.05573,Apartment,Entire home/apt,2,115
42.31171,-71.11818,House,Entire home/apt,10,650
42.32514,-71.09264,Condominium,Private room,1,79
42.34017,-71.04763,Townhouse,Private room,2,105
42.28194,-71.13337,House,Private room,1,53
42.34923,-71.17173,Condominium,Entire home/apt,3,95
42.32371,-71.09458,Apartment,Entire home/apt,4,150
42.31338,-71.11719,House,Entire home/apt,4,145
42.34081,-71.14869,Apartment,Private room,2,70
42.28291,-71.13268,House,Entire home/apt,4,110
42.29041,-71.05853,Apartment,Private room,2,70
42.31227,-71.10086,Townhouse,Entire home/apt,6,165
42.27754,-71.14348,Bungalow,Private room,2,60
42.28209,-71.13335,House,Private room,2,67
42.35509,-71.16242,Townhouse,Private room,2,99
42.34947,-71.09265,Condominium,Entire home/apt,1,235
42.30958,-71.04792,Bed and breakfast,Private room,2,100
42.27691,-71.12823,House,Private room,1,75
42.3446,-71.10172,Other,Entire home/apt,3,213
42.36449,-71.069,Other,Entire home/apt,5,293
42.36512,-71.06926,Other,Entire home/apt,5,312
42.36325,-71.06736,Other,Entire home/apt,3,217
42.35131,-71.06351,Other,Entire home/apt,3,244
42.3462,-71.07857,Apartment,Entire home/apt,3,231
42.35284,-71.06261,Apartment,Entire home/apt,3,195
42.29595,-71.06134,Apartment,Private room,2,90
42.30026,-71.11181,Apartment,Entire home/apt,4,115
42.30885,-71.11643,House,Private room,2,85
42.30968,-71.1176,House,Private room,3,70
42.36056,-71.07141,Apartment,Entire home/apt,4,230
42.34066,-71.05117,Apartment,Private room,2,100
42.34098,-71.05023,Apartment,Entire home/apt,6,250
42.34025,-71.07664,Apartment,Private room,2,125
42.35706,-71.06618,House,Private room,2,110
42.31161,-71.04613,Apartment,Private room,1,76
42.34327,-71.08127,Apartment,Entire home/apt,4,405
42.30829,-71.12399,Apartment,Entire home/apt,6,599
42.3568,-71.06749,House,Private room,2,135
42.34001,-71.15543,Apartment,Entire home/apt,2,114
42.34597,-71.0783,Apartment,Entire home/apt,5,293
42.3509,-71.06321,Other,Entire home/apt,5,312
42.31502,-71.06115,House,Private room,2,70
42.30711,-71.10582,Apartment,Private room,2,120
42.34126,-71.15717,House,Private room,2,70
42.34582,-71.08936,Apartment,Entire home/apt,2,150
42.33535,-71.04741,Condominium,Entire home/apt,6,500
42.33323,-71.04933,Condominium,Private room,3,200
42.34179,-71.05274,Apartment,Entire home/apt,4,250
42.35046,-71.08894,Apartment,Entire home/apt,2,150
42.35136,-71.12615,Apartment,Private room,2,80
42.35672,-71.07147,Apartment,Entire home/apt,2,165
42.35447,-71.06011,Apartment,Entire home/apt,6,300
42.36429,-71.05452,Apartment,Entire home/apt,4,195
42.35136,-71.06236,Apartment,Entire home/apt,3,220
42.35164,-71.06215,Other,Entire home/apt,5,312
42.34415,-71.07273,Apartment,Entire home/apt,2,175
42.30073,-71.11431,Apartment,Private room,2,112
42.34648,-71.07968,Apartment,Entire home/apt,5,293
42.34649,-71.07963,Apartment,Entire home/apt,5,285
42.34924,-71.08453,Apartment,Entire home/apt,5,425
42.34032,-71.07572,Apartment,Entire home/apt,4,175
42.33041,-71.0914,Apartment,Private room,2,95
42.36495,-71.05721,Apartment,Entire home/apt,3,99
42.33671,-71.07546,Apartment,Entire home/apt,2,164
42.31144,-71.11864,Guest suite,Entire home/apt,2,135
42.34643,-71.07092,Apartment,Entire home/apt,2,119
42.35777,-71.06218,Serviced apartment,Entire home/apt,2,125
42.35086,-71.08099,Apartment,Entire home/apt,3,175
42.34189,-71.07254,Apartment,Entire home/apt,2,140
42.3438,-71.1563,Apartment,Entire home/apt,2,52
42.35985,-71.05779,Apartment,Entire home/apt,2,150
42.36277,-71.05939,Apartment,Entire home/apt,2,175
42.27965,-71.13606,Villa,Private room,1,40
42.30704,-71.10337,House,Entire home/apt,10,450
42.34807,-71.07664,Apartment,Entire home/apt,2,600
42.36485,-71.05233,Apartment,Entire home/apt,4,119
42.36666,-71.05193,Apartment,Entire home/apt,6,299
42.34667,-71.0755,Apartment,Entire home/apt,2,250
42.34507,-71.08601,Apartment,Entire home/apt,4,280
42.35015,-71.06793,Apartment,Private room,1,125
42.35794,-71.05221,Villa,Private room,4,400
