,price,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
59,125.0,0.0,0.0,0.0,0.0,39.0,13.0,0.0,13.0,65.0,0.0,0.0,52.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,78.0,26.0,0.0,52.0,195.0,52.0
60,370.0,15.0,0.0,0.0,0.0,15.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,15.0,35.0,5.0
61,189.5,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,70.0,0.0,0.0,50.0,80.0,0.0
62,150.0,336.0,0.0,0.0,48.0,432.0,96.0,144.0,0.0,0.0,0.0,144.0,240.0,0.0,96.0,0.0,192.0,0.0,0.0,48.0,240.0,144.0,0.0,672.0,1296.0,144.0
63,143.5,272.0,0.0,0.0,0.0,476.0,34.0,0.0,0.0,102.0,0.0,34.0,238.0,0.0,34.0,0.0,204.0,0.0,0.0,0.0,170.0,102.0,0.0,1054.0,612.0,272.0
64,243.5,720.0,0.0,0.0,216.0,936.0,216.0,72.0,0.0,72.0,72.0,792.0,432.0,0.0,72.0,0.0,648.0,0.0,0.0,0.0,288.0,144.0,0.0,4248.0,1800.0,576.0
65,217.5,48.0,0.0,0.0,0.0,4.0,0.0,24.0,0.0,0.0,0.0,20.0,76.0,0.0,8.0,4.0,24.0,4.0,0.0,8.0,8.0,12.0,16.0,68.0,76.0,16.0
66,125.0,297.0,0.0,0.0,0.0,264.0,33.0,99.0,0.0,66.0,0.0,0.0,495.0,0.0,33.0,0.0,165.0,0.0,0.0,0.0,231.0,66.0,0.0,693.0,1617.0,231.0
67,149.0,165.0,0.0,0.0,0.0,99.0,33.0,33.0,0.0,0.0,0.0,11.0,319.0,0.0,11.0,11.0,110.0,11.0,0.0,55.0,77.0,11.0,0.0,275.0,297.0,99.0
68,307.5,30.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,52.0,2.0,4.0,0.0,20.0,0.0,0.0,4.0,14.0,8.0,0.0,58.0,40.0,8.0
69,154.5,810.0,0.0,0.0,54.0,1242.0,1080.0,108.0,54.0,324.0,54.0,162.0,6264.0,0.0,108.0,0.0,594.0,0.0,0.0,54.0,1512.0,594.0,108.0,1620.0,2484.0,1674.0
70,240.0,25877.0,0.0,0.0,4351.0,4580.0,687.0,0.0,1603.0,6412.0,229.0,14885.0,62517.0,0.0,6641.0,0.0,5038.0,0.0,0.0,0.0,2519.0,24045.0,229.0,65494.0,25648.0,45113.0
71,230.0,3880.0,0.0,0.0,194.0,970.0,97.0,0.0,194.0,485.0,97.0,1746.0,3007.0,0.0,679.0,0.0,485.0,0.0,0.0,0.0,194.0,1455.0,97.0,8730.0,3007.0,1843.0
72,163.5,924.0,0.0,0.0,264.0,1254.0,132.0,0.0,66.0,726.0,132.0,330.0,726.0,0.0,66.0,0.0,924.0,0.0,0.0,0.0,396.0,132.0,0.0,2178.0,2970.0,990.0
73,187.5,112.0,0.0,0.0,14.0,70.0,0.0,0.0,0.0,14.0,0.0,14.0,28.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,84.0,14.0,0.0,224.0,266.0,112.0
74,170.0,549.0,0.0,0.0,0.0,976.0,244.0,183.0,0.0,183.0,0.0,366.0,915.0,0.0,61.0,0.0,122.0,0.0,0.0,0.0,793.0,366.0,0.0,2013.0,2196.0,549.0
75,150.0,612.0,0.0,0.0,0.0,51.0,0.0,0.0,51.0,0.0,0.0,357.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,51.0,153.0,51.0,0.0,969.0,357.0,204.0
76,150.0,111.0,0.0,0.0,37.0,407.0,74.0,37.0,0.0,74.0,0.0,37.0,148.0,0.0,74.0,0.0,259.0,0.0,0.0,0.0,222.0,148.0,0.0,518.0,407.0,148.0
77,156.5,264.0,0.0,44.0,44.0,264.0,88.0,0.0,0.0,44.0,0.0,44.0,748.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,836.0,352.0,0.0,616.0,704.0,396.0
78,121.0,495.0,0.0,0.0,0.0,135.0,45.0,45.0,0.0,0.0,45.0,45.0,765.0,0.0,90.0,0.0,225.0,0.0,0.0,90.0,405.0,270.0,45.0,945.0,1035.0,315.0
79,160.0,1296.0,0.0,0.0,27.0,324.0,216.0,54.0,27.0,54.0,27.0,891.0,5130.0,0.0,270.0,0.0,378.0,0.0,0.0,27.0,405.0,621.0,0.0,3294.0,945.0,1836.0
80,185.0,208.0,0.0,13.0,13.0,91.0,52.0,13.0,0.0,0.0,0.0,143.0,416.0,0.0,39.0,0.0,208.0,0.0,0.0,26.0,65.0,39.0,26.0,728.0,442.0,468.0
81,65.0,966.0,0.0,0.0,14.0,630.0,168.0,112.0,0.0,56.0,0.0,140.0,5810.0,0.0,154.0,0.0,112.0,42.0,0.0,14.0,112.0,476.0,42.0,1400.0,742.0,2226.0
82,35.0,216.0,0.0,12.0,0.0,132.0,72.0,60.0,0.0,12.0,0.0,0.0,252.0,12.0,48.0,0.0,48.0,0.0,0.0,0.0,96.0,120.0,36.0,396.0,300.0,276.0
83,151.5,390.0,0.0,0.0,10.0,80.0,40.0,20.0,0.0,30.0,0.0,40.0,500.0,0.0,120.0,0.0,170.0,0.0,0.0,10.0,40.0,110.0,30.0,500.0,510.0,250.0
84,135.0,242.0,0.0,0.0,0.0,110.0,22.0,22.0,0.0,22.0,0.0,55.0,264.0,0.0,55.0,0.0,77.0,0.0,0.0,33.0,55.0,77.0,44.0,528.0,352.0,176.0
85,225.0,363.0,0.0,0.0,0.0,66.0,33.0,0.0,11.0,22.0,0.0,209.0,2156.0,0.0,121.0,0.0,253.0,11.0,0.0,11.0,33.0,154.0,99.0,660.0,319.0,506.0
86,80.0,171.0,0.0,0.0,36.0,36.0,0.0,63.0,0.0,0.0,9.0,27.0,144.0,0.0,90.0,9.0,45.0,0.0,0.0,18.0,36.0,18.0,0.0,378.0,207.0,99.0
