,CT,AV_BLDG,Sum_Aggrav,Sum_Aircra,Sum_Arson,Sum_Assemb,Sum_Auto_T,Sum_Auto_1,Sum_Ballis,Sum_Bomb_H,Sum_Commer,Sum_Crimin,Sum_Disord,Sum_Drug_V,Sum_Explos,Sum_Firear,Sum_HOME_I,Sum_Harass,Sum_Homici,Sum_Mansla,Sum_Offens,Sum_Reside,Sum_Robber,Sum_Search,Sum_Simple,Sum_Vandal,Sum_Warran
109,25025091700,265900.0,5340,0,0,445,5785,1335,1780,0,0,0,890,3115,0,1335,0,3115,0,0,890,6675,4450,1780,15575,16020,5340
110,25025091800,247850.0,12168,0,0,468,4680,1404,1872,0,936,0,1872,9828,0,2340,936,1872,468,0,0,6084,6084,468,24804,28548,12168
111,25025091900,208400.0,20615,0,1767,0,10013,2945,2945,0,2945,589,2356,8835,0,3534,0,6479,589,0,1178,5301,7657,0,31806,38285,7657
112,25025092000,258600.0,22110,0,0,737,7370,1474,3685,737,2211,0,1474,14003,0,4422,0,13266,2211,0,1474,14740,10318,3685,39798,44220,11792
113,25025092101,260000.0,28413,0,0,1353,39237,8118,2706,0,1353,0,2706,129888,0,10824,0,20295,0,0,1353,33825,21648,4059,73062,85239,44649
114,25025092200,284400.0,22010,0,710,710,12070,0,2130,0,710,0,7100,26980,0,5680,0,7100,1420,0,710,6390,12780,2130,39050,31950,13490
115,25025092300,218900.0,12974,0,0,0,5988,1497,998,0,1497,0,4491,4491,0,4491,499,4990,0,0,1497,1996,5489,499,28443,21956,5489
116,25025092400,234700.0,21250,0,0,0,11875,3125,6875,0,3750,0,2500,11250,0,7500,0,11250,625,0,1250,6875,5625,6250,42500,31875,9375
117,25025100100,214450.0,29280,0,610,0,8540,2440,1830,0,610,0,1830,151280,0,7320,610,10980,0,0,610,7320,6710,4880,41480,40260,17690
118,25025100200,193500.0,10230,0,0,0,5115,1395,1860,0,0,0,1395,7905,0,2325,0,7440,0,0,1395,5115,4650,2325,18135,14415,4650
119,25025100300,213500.0,11169,0,0,1314,7884,657,4599,0,657,0,657,9198,0,1971,0,6570,2628,0,657,3942,2628,0,18396,21024,3285
120,25025100400,246500.0,19005,0,0,905,9050,1810,3620,0,0,0,2715,17195,0,3620,0,15385,0,0,905,8145,8145,905,46155,57920,7240
121,25025100500,265700.0,52272,0,0,0,25047,3267,9801,0,2178,1089,14157,28314,0,9801,0,17424,3267,0,0,21780,44649,2178,113256,103455,15246
